codigo,nombres,correo,celular,inasistencias,nota
STU001,Luis Pérez,luis@corimaginaria.com,3001112231,1,1.8
STU002,Ana Gómez,ana@corimaginaria.com,3001112232,1,4.0
STU003,Mario Díaz,mario@corimaginaria.com,3001112233,1,3.1
STU004,Sofía Rojas,sofia@corimaginaria.com,3001112234,0,4.6
STU005,Diego Torres,diego@corimaginaria.com,3001112235,0,3.5
STU006,Camila Ruiz,camila@corimaginaria.com,3001112236,1,4.3
STU007,Andrés Mora,andres@corimaginaria.com,3001112237,2,3.0
STU008,Valeria López,valeria@corimaginaria.com,3001112238,0,4.9
STU009,Julián Vega,julian@corimaginaria.com,3001112239,0,3.9
STU010,Daniela Cruz,daniela@corimaginaria.com,3001112240,1,0.4
